,Player,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G
197,Mike White,MIA,6,8,-9,0,0,-1.1,-1.5
198,Michael Burton,DEN,17,7,9,0,4,1.3,0.5
199,Jeff Driskel,CLE,1,7,33,0,13,4.7,33.0
200,Blaine Gabbert,KAN,2,7,45,0,25,6.4,22.5
201,Kalif Raymond,DET,17,7,75,0,40,10.7,4.4
202,Curtis Samuel,WAS,16,7,39,1,15,5.6,2.4
203,Tyler Scott,CHI,17,7,41,0,16,5.9,2.4
204,Rashid Shaheed,NOR,15,7,37,0,12,5.3,2.5
205,Tyrion Davis-Price,SFO,1,6,21,0,15,3.5,21.0
206,Jaren Hall,MIN,3,6,14,0,8,2.3,4.7
207,Tyreek Hill,MIA,16,6,15,0,14,2.5,0.9
208,Hunter Luepke,DAL,17,6,19,1,9,3.2,1.1
209,Tutu Atwell,LAR,16,5,31,0,22,6.2,1.9
210,Andrew Beck,HOU,15,5,3,1,2,0.6,0.2
211,Mike Boone,HOU,9,5,23,0,11,4.6,2.6
212,Lynn Bowden Jr.,NOR,15,5,32,0,29,6.4,2.1
213,Harrison Bryant,CLE,17,5,8,0,2,1.6,0.5
214,Treylon Burks,TEN,11,5,18,0,9,3.6,1.6
215,Brandin Cooks,DAL,16,5,35,0,14,7.0,2.2
216,Erik Ezukanma,MIA,2,5,22,0,12,4.4,11.0
217,Xavier Hutchinson,HOU,16,5,49,0,17,9.8,3.1
218,Kyle Juszczyk,SFO,17,5,6,0,3,1.2,0.4
219,Drew Lock,SEA,4,5,14,0,11,2.8,3.5
220,Kene Nwangwu,MIN,9,5,13,0,8,2.6,1.4
221,Brandon Powell,MIN,17,5,17,0,9,3.4,1.0
222,Malik Willis,TEN,3,5,21,0,11,4.2,7.0
223,Jameis Winston,NOR,7,5,-6,0,-1,-1.2,-0.9
224,Jamal Agnew,JAX,11,4,-2,0,1,-0.5,-0.2
225,Brandon Bolden,LVR,17,4,31,1,26,7.8,1.8
226,Tim Boyle,NYJ,3,4,5,0,2,1.3,1.7
227,Elijah Dotson,LAC,4,4,6,0,2,1.5,1.5
228,Devin Duvernay,BAL,13,4,15,0,8,3.8,1.2
229,Chris Godwin,TAM,17,4,38,1,19,9.5,2.2
230,Marquise Goodwin,CLE,12,4,33,0,20,8.3,2.8
231,Deonte Harty,BUF,16,4,0,0,4,0.0,0.0
232,Jakobi Meyers,LVR,16,4,24,2,17,6.0,1.5
